attack_cat,label,id
Normal,0,1
Normal,0,2
Normal,0,3
Normal,0,4
Normal,0,5
Normal,0,6
Normal,0,7
Normal,0,8
Normal,0,9
Normal,0,10
Normal,0,11
Normal,0,12
Normal,0,13
Normal,0,14
Normal,0,15
Normal,0,16
Normal,0,17
Normal,0,18
Normal,0,19
Normal,0,20
Normal,0,21
Normal,0,22
Normal,0,23
Normal,0,24
Normal,0,25
Normal,0,26
Normal,0,27
Normal,0,28
Normal,0,29
Normal,0,30
Normal,0,31
Normal,0,32
Normal,0,33
Normal,0,34
Normal,0,35
Normal,0,36
Normal,0,37
Normal,0,38
Normal,0,39
Normal,0,40
Normal,0,41
Normal,0,42
Normal,0,43
Normal,0,44
Normal,0,45
Normal,0,46
Normal,0,47
Normal,0,48
Normal,0,49
Normal,0,50
Normal,0,51
Normal,0,52
Normal,0,53
Normal,0,54
Normal,0,55
Normal,0,56
Normal,0,57
Normal,0,58
Normal,0,59
Normal,0,60
Normal,0,61
Normal,0,62
Normal,0,63
Normal,0,64
Normal,0,65
Normal,0,66
Normal,0,67
Normal,0,68
Normal,0,69
Normal,0,70
Normal,0,71
Normal,0,72
Normal,0,73
Normal,0,74
Normal,0,75
Normal,0,76
Normal,0,77
Normal,0,78
Normal,0,79
Normal,0,80
Normal,0,81
Normal,0,82
Normal,0,83
Normal,0,84
Normal,0,85
Normal,0,86
Normal,0,87
Normal,0,88
Normal,0,89
Normal,0,90
Normal,0,91
Normal,0,92
Normal,0,93
Normal,0,94
Normal,0,95
Normal,0,96
Normal,0,97
Normal,0,98
Normal,0,99
Normal,0,100
Normal,0,101
Normal,0,102
Normal,0,103
Normal,0,104
Normal,0,105
Normal,0,106
Normal,0,107
Normal,0,108
Normal,0,109
Normal,0,110
Normal,0,111
Normal,0,112
Normal,0,113
Normal,0,114
Normal,0,115
Normal,0,116
Normal,0,117
Normal,0,118
Normal,0,119
Normal,0,120
Normal,0,121
Normal,0,122
Normal,0,123
Normal,0,124
Normal,0,125
Normal,0,126
Normal,0,127
Normal,0,128
Normal,0,129
Normal,0,130
Normal,0,131
Normal,0,132
Normal,0,133
Normal,0,134
Normal,0,135
Normal,0,136
Normal,0,137
Normal,0,138
Normal,0,139
Normal,0,140
Normal,0,141
Normal,0,142
Normal,0,143
Normal,0,144
Normal,0,145
Normal,0,146
Normal,0,147
Normal,0,148
Normal,0,149
Normal,0,150
Normal,0,151
Normal,0,152
Normal,0,153
Normal,0,154
Normal,0,155
Normal,0,156
Normal,0,157
Normal,0,158
Normal,0,159
Normal,0,160
Normal,0,161
Normal,0,162
Normal,0,163
Normal,0,164
Normal,0,165
Normal,0,166
Normal,0,167
Normal,0,168
Normal,0,169
Normal,0,170
Normal,0,171
Normal,0,172
Normal,0,173
Normal,0,174
Normal,0,175
Normal,0,176
Normal,0,177
Normal,0,178
Normal,0,179
Normal,0,180
Normal,0,181
Normal,0,182
Normal,0,183
Normal,0,184
Normal,0,185
Normal,0,186
Normal,0,187
Normal,0,188
Normal,0,189
Normal,0,190
Normal,0,191
Normal,0,192
Normal,0,193
Normal,0,194
Normal,0,195
Normal,0,196
Normal,0,197
Normal,0,198
Normal,0,199
Normal,0,200
Normal,0,201
Normal,0,202
Normal,0,203
Normal,0,204
Normal,0,205
Normal,0,206
Normal,0,207
Normal,0,208
Normal,0,209
Normal,0,210
Normal,0,211
Normal,0,212
Normal,0,213
Normal,0,214
Normal,0,215
Normal,0,216
Normal,0,217
Normal,0,218
Normal,0,219
Normal,0,220
Normal,0,221
Normal,0,222
Normal,0,223
Normal,0,224
Normal,0,225
Normal,0,226
Normal,0,227
Normal,0,228
Normal,0,229
Normal,0,230
Normal,0,231
Normal,0,232
Normal,0,233
Normal,0,234
Normal,0,235
Normal,0,236
Normal,0,237
Normal,0,238
Normal,0,239
Normal,0,240
Normal,0,241
Normal,0,242
Normal,0,243
Normal,0,244
Normal,0,245
Normal,0,246
Normal,0,247
Normal,0,248
Normal,0,249
Normal,0,250
Normal,0,251
Normal,0,252
Normal,0,253
Normal,0,254
Normal,0,255
Normal,0,256
